mesa_id,municipio,candidato_1,candidato_2,candidato_3,candidato_4,candidato_5,votos_nulos,total_votos,capacidad_mesa,tiene_anomalia,tipo_anomalia
Mesa_001,San Marcos,24,13,45,41,38,4,165,200,False,
Mesa_002,La Esperanza,23,79,21,64,14,0,201,200,False,
Mesa_003,Villa Nueva,49,36,40,26,19,0,170,200,True,votos_nulos_cero
Mesa_004,El Progreso,35,79,63,38,67,18,300,200,False,
Mesa_005,Santa Rosa,45,10,30,64,53,8,210,200,False,
Mesa_006,Quetzaltenango,29,37,53,23,21,12,191,200,True,total_incorrecto
Mesa_007,Totonicapán,22,55,54,43,15,14,203,200,False,
Mesa_008,Sololá,78,25,58,20,80,9,270,200,False,
Mesa_009,Chimaltenango,44,47,39,39,30,0,193,200,True,participacion_extrema
Mesa_010,Escuintla,20,39,22,58,45,14,198,200,False,
Mesa_011,Retalhuleu,56,30,57,55,36,8,242,200,False,
Mesa_012,Suchitepéquez,19,31,78,41,30,14,213,200,False,
Mesa_013,Jutiapa,58,44,38,51,17,7,229,200,True,total_incorrecto
Mesa_014,Jalapa,14,50,61,44,18,6,193,200,False,
Mesa_015,Zacapa,50,37,73,60,68,4,292,200,False,
Mesa_016,Chiquimula,43,27,41,78,43,18,250,200,False,
Mesa_017,Izabal,64,61,56,38,27,16,262,200,False,
Mesa_018,Alta Verapaz,73,21,16,24,29,20,183,200,False,
Mesa_019,Baja Verapaz,30,64,18,59,58,19,248,200,False,
Mesa_020,Petén,30,47,39,23,22,38,199,200,True,participacion_extrema
Mesa_021,Huehuetenango,78,44,53,24,47,13,259,200,False,
Mesa_022,Ixcán,30,68,10,43,74,5,230,200,False,
Mesa_023,San Pedro,74,23,48,74,35,4,258,200,False,
Mesa_024,Cobán,57,30,79,77,10,19,260,200,True,total_incorrecto
Mesa_025,Flores,51,72,12,24,56,9,224,200,False,
Mesa_026,Mixco,40,17,40,20,20,15,152,200,False,
Mesa_027,Amatitlán,18,78,26,26,70,17,235,200,False,
Mesa_028,Palencia,31,43,77,64,37,17,269,200,False,
Mesa_029,Chinautla,35,49,61,57,66,16,284,200,False,
Mesa_030,San Juan Sacatepéquez,67,25,41,38,18,10,199,200,False,
Mesa_031,Santa Catarina,12,80,39,38,10,2,181,200,False,
Mesa_032,Villa Canales,50,38,46,35,13,0,182,200,True,votos_nulos_cero
Mesa_033,Fraijanes,75,40,45,72,37,17,286,200,False,
Mesa_034,San Raymundo,26,70,41,70,62,6,275,200,False,
Mesa_035,Chuarrancho,22,22,65,55,64,13,241,200,False,
Mesa_036,San José Pinula,69,16,22,17,61,10,195,200,False,
Mesa_037,San Pedro Ayampuc,23,41,34,34,78,14,224,200,False,
Mesa_038,Tajumulco,27,64,33,45,69,7,266,200,True,total_incorrecto
Mesa_039,Sibinal,19,66,80,22,16,20,223,200,False,
Mesa_040,Tejutla,79,11,21,40,31,13,195,200,False,
Mesa_041,Malacatán,72,71,37,61,17,5,263,200,False,
Mesa_042,El Quiché,58,10,59,43,68,9,247,200,False,
Mesa_043,Nebaj,64,72,29,34,47,6,252,200,False,
Mesa_044,Chichicastenango,17,79,17,50,17,1,181,200,False,
Mesa_045,Jacaltenango,33,33,47,24,24,34,195,200,True,participacion_extrema
Mesa_046,Barillas,20,33,18,18,40,12,141,200,False,
Mesa_047,Todos Santos,25,41,15,20,63,18,182,200,False,
Mesa_048,San Mateo,76,50,43,36,50,7,262,200,False,
Mesa_049,Olintepeque,31,32,50,33,23,0,169,200,True,votos_nulos_cero
Mesa_050,Zunil,19,11,68,22,19,17,156,200,False,
