form_id,field,ocr_value
E14_001,total_sufragantes,2
E14_001,votos_en_urna,123
E14_001,votos_incinerados,
E14_001,votos_candidato_1,1
E14_001,votos_candidato_2,1
E14_001,votos_blanco,5
E14_001,votos_nulos,
E14_001,votos_no_marcados,
E14_001,total_mesa,235
E14_002,total_sufragantes,012711
E14_002,votos_en_urna,211
E14_002,votos_incinerados,
E14_002,votos_candidato_1,
E14_002,votos_candidato_2,11
E14_002,votos_blanco,
E14_002,votos_nulos,2
E14_002,votos_no_marcados,
E14_002,total_mesa,1
E14_003,total_sufragantes,012711
E14_003,votos_en_urna,211
E14_003,votos_incinerados,
E14_003,votos_candidato_1,
E14_003,votos_candidato_2,11
E14_003,votos_blanco,
E14_003,votos_nulos,2
E14_003,votos_no_marcados,
E14_003,total_mesa,1
E14_004,total_sufragantes,
E14_004,votos_en_urna,
E14_004,votos_incinerados,
E14_004,votos_candidato_1,12
E14_004,votos_candidato_2,179212
E14_004,votos_blanco,
E14_004,votos_nulos,
E14_004,votos_no_marcados,
E14_004,total_mesa,12112
E14_005,total_sufragantes,16
E14_005,votos_en_urna,152
E14_005,votos_incinerados,
E14_005,votos_candidato_1,
E14_005,votos_candidato_2,
E14_005,votos_blanco,1799
E14_005,votos_nulos,7
E14_005,votos_no_marcados,
E14_005,total_mesa,
E14_006,total_sufragantes,228
E14_006,votos_en_urna,28
E14_006,votos_incinerados,
E14_006,votos_candidato_1,22
E14_006,votos_candidato_2,13
E14_006,votos_blanco,
E14_006,votos_nulos,
E14_006,votos_no_marcados,
E14_006,total_mesa,8
E14_007,total_sufragantes,223
E14_007,votos_en_urna,21221
E14_007,votos_incinerados,
E14_007,votos_candidato_1,111
E14_007,votos_candidato_2,3
E14_007,votos_blanco,
E14_007,votos_nulos,
E14_007,votos_no_marcados,
E14_007,total_mesa,224
E14_008,total_sufragantes,21774
E14_008,votos_en_urna,223
E14_008,votos_incinerados,
E14_008,votos_candidato_1,16
E14_008,votos_candidato_2,1
E14_008,votos_blanco,
E14_008,votos_nulos,
E14_008,votos_no_marcados,
E14_008,total_mesa,274
E14_009,total_sufragantes,7
E14_009,votos_en_urna,7
E14_009,votos_incinerados,
E14_009,votos_candidato_1,117
E14_009,votos_candidato_2,115
E14_009,votos_blanco,5
E14_009,votos_nulos,
E14_009,votos_no_marcados,
E14_009,total_mesa,7
E14_010,total_sufragantes,1
E14_010,votos_en_urna,6
E14_010,votos_incinerados,
E14_010,votos_candidato_1,74
E14_010,votos_candidato_2,8
E14_010,votos_blanco,4
E14_010,votos_nulos,
E14_010,votos_no_marcados,
E14_010,total_mesa,
E14_011,total_sufragantes,22
E14_011,votos_en_urna,2
E14_011,votos_incinerados,
E14_011,votos_candidato_1,
E14_011,votos_candidato_2,
E14_011,votos_blanco,
E14_011,votos_nulos,3
E14_011,votos_no_marcados,
E14_011,total_mesa,228
E14_012,total_sufragantes,77
E14_012,votos_en_urna,6
E14_012,votos_incinerados,4
E14_012,votos_candidato_1,112
E14_012,votos_candidato_2,4
E14_012,votos_blanco,
E14_012,votos_nulos,
E14_012,votos_no_marcados,
E14_012,total_mesa,
E14_013,total_sufragantes,17274
E14_013,votos_en_urna,1
E14_013,votos_incinerados,7
E14_013,votos_candidato_1,
E14_013,votos_candidato_2,1
E14_013,votos_blanco,
E14_013,votos_nulos,2
E14_013,votos_no_marcados,
E14_013,total_mesa,
E14_014,total_sufragantes,996
E14_014,votos_en_urna,1
E14_014,votos_incinerados,
E14_014,votos_candidato_1,51
E14_014,votos_candidato_2,1115
E14_014,votos_blanco,
E14_014,votos_nulos,
E14_014,votos_no_marcados,
E14_014,total_mesa,
E14_015,total_sufragantes,21717
E14_015,votos_en_urna,22
E14_015,votos_incinerados,
E14_015,votos_candidato_1,77
E14_015,votos_candidato_2,
E14_015,votos_blanco,16
E14_015,votos_nulos,
E14_015,votos_no_marcados,
E14_015,total_mesa,22
E14_016,total_sufragantes,215
E14_016,votos_en_urna,2755
E14_016,votos_incinerados,
E14_016,votos_candidato_1,1123
E14_016,votos_candidato_2,21815
E14_016,votos_blanco,4
E14_016,votos_nulos,3
E14_016,votos_no_marcados,
E14_016,total_mesa,215
E14_017,total_sufragantes,2112
E14_017,votos_en_urna,21212
E14_017,votos_incinerados,
E14_017,votos_candidato_1,41217
E14_017,votos_candidato_2,1
E14_017,votos_blanco,
E14_017,votos_nulos,2
E14_017,votos_no_marcados,
E14_017,total_mesa,
